Date,Price
1-Jan-22,179.068
2-Jan-22,176.367
3-Jan-22,170.039
4-Jan-22,167.767
5-Jan-22,154.54
6-Jan-22,150.336
7-Jan-22,136.405
8-Jan-22,142.033
9-Jan-22,140.755
10-Jan-22,135.964
11-Jan-22,140.209
12-Jan-22,151.437
13-Jan-22,146.061
14-Jan-22,146.162
15-Jan-22,147.677
16-Jan-22,147.954
17-Jan-22,139.824
18-Jan-22,141.282
19-Jan-22,135.276
20-Jan-22,127.672
21-Jan-22,112.362
22-Jan-22,94.665
23-Jan-22,99.766
24-Jan-22,91.784
25-Jan-22,94.704
26-Jan-22,91.905
27-Jan-22,89.422
28-Jan-22,91.318
29-Jan-22,96.186
30-Jan-22,93.385
31-Jan-22,99.627
1-Feb-22,109.981
2-Feb-22,101.908
3-Feb-22,101.675
4-Feb-22,112.401
5-Feb-22,113.912
6-Feb-22,115.286
7-Feb-22,117.512
8-Feb-22,113.293
9-Feb-22,113.991
10-Feb-22,106.19
11-Feb-22,96.483
12-Feb-22,95.891
13-Feb-22,92.811
14-Feb-22,96.458
15-Feb-22,105.352
16-Feb-22,101.763
17-Feb-22,93.591
18-Feb-22,89.96
19-Feb-22,91.264
20-Feb-22,90.6
21-Feb-22,82.879
22-Feb-22,86.413
23-Feb-22,84.431
24-Feb-22,89.409
25-Feb-22,92.778
26-Feb-22,90.13
27-Feb-22,85.607
28-Feb-22,99.705
1-Mar-22,98.63
2-Mar-22,100.702
3-Mar-22,95.649
4-Mar-22,88.275
5-Mar-22,89.623
6-Mar-22,84.538
7-Mar-22,81.786
8-Mar-22,82.308
9-Mar-22,88.089
10-Mar-22,82.871
11-Mar-22,80.665
12-Mar-22,81.402
13-Mar-22,78.858
14-Mar-22,81.223
15-Mar-22,82.85
16-Mar-22,87.795
17-Mar-22,87.813
18-Mar-22,89.792
19-Mar-22,92.435
20-Mar-22,88.606
21-Mar-22,88.62
22-Mar-22,90.424
23-Mar-22,94.924
24-Mar-22,102.35
25-Mar-22,98.649
26-Mar-22,101.804
27-Mar-22,107.093
28-Mar-22,105.689
29-Mar-22,111.709
30-Mar-22,120.727
31-Mar-22,122.919
1-Apr-22,134.599
2-Apr-22,132.376
3-Apr-22,136.804
4-Apr-22,132.132
5-Apr-22,126.784
6-Apr-22,112.99
7-Apr-22,118.577
8-Apr-22,110.009
9-Apr-22,112.812
10-Apr-22,111.044
11-Apr-22,99.532
12-Apr-22,103.181
13-Apr-22,104.88
14-Apr-22,100.744
15-Apr-22,101.407
16-Apr-22,102.118
17-Apr-22,100.296
18-Apr-22,102.304
19-Apr-22,108.576
20-Apr-22,105.55
21-Apr-22,101.757
22-Apr-22,100.533
23-Apr-22,100.583
24-Apr-22,99.227
25-Apr-22,101.007
26-Apr-22,95.683
27-Apr-22,98.324
28-Apr-22,98.233
29-Apr-22,93.915
30-Apr-22,84.757
1-May-22,89.681
2-May-22,87.462
3-May-22,85.833
4-May-22,92.792
5-May-22,84.438
6-May-22,81.639
7-May-22,78.841
8-May-22,75.317
9-May-22,61.967
10-May-22,66.673
11-May-22,50.647
12-May-22,44.622
13-May-22,48.832
14-May-22,52.318
15-May-22,58.664
16-May-22,53.643
17-May-22,57.056
18-May-22,49.91
19-May-22,52.167
20-May-22,49.414
21-May-22,50.293
22-May-22,52.46
23-May-22,49.094
24-May-22,49.659
25-May-22,47.961
26-May-22,43.369
27-May-22,41.076
28-May-22,44.245
29-May-22,44.96
30-May-22,47.206
31-May-22,45.718
1-Jun-22,40.1
2-Jun-22,40.864
3-Jun-22,38.265
4-Jun-22,38.953
5-Jun-22,38.523
6-Jun-22,42.387
7-Jun-22,39.321
8-Jun-22,38.805
9-Jun-22,39.948
10-Jun-22,37.119
11-Jun-22,33.874
12-Jun-22,30.62
13-Jun-22,28.405
14-Jun-22,29.633
15-Jun-22,34.708
16-Jun-22,30.086
17-Jun-22,30.667
18-Jun-22,31.95
19-Jun-22,34.209
20-Jun-22,35.265
21-Jun-22,36.247
22-Jun-22,34.082
23-Jun-22,38.15
24-Jun-22,41.896
25-Jun-22,42.26
26-Jun-22,39.411
27-Jun-22,38.444
28-Jun-22,35.315
29-Jun-22,34.003
30-Jun-22,33.749
1-Jul-22,32.846
2-Jul-22,33.348
3-Jul-22,33.397
4-Jul-22,36.706
5-Jul-22,35.411
6-Jul-22,37.037
7-Jul-22,38.484
8-Jul-22,38.134
9-Jul-22,38.07
10-Jul-22,36.69
11-Jul-22,33.448
12-Jul-22,32.667
13-Jul-22,34.937
14-Jul-22,37.132
15-Jul-22,37.367
16-Jul-22,39.6
17-Jul-22,38.557
18-Jul-22,43.578
19-Jul-22,44.89
20-Jul-22,42.04
21-Jul-22,43.131
22-Jul-22,40.539
23-Jul-22,39.99
24-Jul-22,40.987
25-Jul-22,36.661
26-Jul-22,36.27
27-Jul-22,40.259
28-Jul-22,42.98
29-Jul-22,41.909
30-Jul-22,43.837
31-Jul-22,42.416
1-Aug-22,41.749
2-Aug-22,39.733
3-Aug-22,38.56
4-Aug-22,38.804
5-Aug-22,40.573
6-Aug-22,40.055
7-Aug-22,40.594
8-Aug-22,42.23
9-Aug-22,40.353
10-Aug-22,42.462
11-Aug-22,42.757
12-Aug-22,45.439
13-Aug-22,46.569
14-Aug-22,44.876
15-Aug-22,43.71
16-Aug-22,43.127
17-Aug-22,40.519
18-Aug-22,39.495
19-Aug-22,35.844
20-Aug-22,35.28
21-Aug-22,36.458
22-Aug-22,35.45
23-Aug-22,35.657
24-Aug-22,34.896
25-Aug-22,35.29
26-Aug-22,31.756
27-Aug-22,31.523
28-Aug-22,30.33
29-Aug-22,32.42
30-Aug-22,31.443
31-Aug-22,31.507
1-Sep-22,31.603
2-Sep-22,31.257
3-Sep-22,31.12
4-Sep-22,32.13
5-Sep-22,32.157
6-Sep-22,30.872
7-Sep-22,32.681
8-Sep-22,33.603
9-Sep-22,34.719
10-Sep-22,35.055
11-Sep-22,34.99
12-Sep-22,37.458
13-Sep-22,32.996
14-Sep-22,34.113
15-Sep-22,33.088
16-Sep-22,32.233
17-Sep-22,33.711
18-Sep-22,31.1
19-Sep-22,32.623
20-Sep-22,31.413
21-Sep-22,30.761
22-Sep-22,32.415
23-Sep-22,33.67
24-Sep-22,33.417
25-Sep-22,32.306
26-Sep-22,33.887
27-Sep-22,32.69
28-Sep-22,33.213
29-Sep-22,33.917
30-Sep-22,33.243
1-Oct-22,32.443
2-Oct-22,32.064
3-Oct-22,32.888
4-Oct-22,34.101
5-Oct-22,34.04
6-Oct-22,33.369
7-Oct-22,32.98
8-Oct-22,32.576
9-Oct-22,32.923
10-Oct-22,31.934
